"source";"target";"purpose"
"P91-1006";"589";"approach"
"P91-1034";"590";"method"
"P91-1034";"591";"method"
"P92-1006";"592";"use"
"J93-1005";"593";"approach"
"J93-1005";"594";"proposed by"
"J93-1005";"595";"proposed by"
"A92-1014";"596";"approach"
"J93-1005";"597";"proposed by"
"W96-0104";"598";"use"
"P95-1025";"599";"use"
"A88-1019";"600";"proposed by"
"A92-1011";"601";"approach"
"P94-1020";"602";"present"
"P96-1042";"603";"present"
"P96-1041";"604";"present"
"E03-1040";"605";"report"
"J01-3003";"606";"present"
"A97-1004";"607";"use"
"W11-0114";"608";"proposed by"
"P08-1028";"609";"present"
"N13-1136";"610";"present"
"P13-1048";"611";"report"
"D14-1220";"612";"approach"
"P99-1047";"613";"approach"
"W04-3210";"614";"report"
"N09-1064";"615";"present"
"P07-1062";"616";"method"
"N03-1030";"617";"method"
"W04-0213";"618";"report"
"N09-1064";"619";"report"
"P06-1101";"620";"present"
"P98-2158";"621";"present"
"P03-1021";"622";"approach"
"J92-1002";"623";"report"
"Q13-1005";"624";"use"
"D09-1062";"625";"proposed by"
"D09-1062";"626";"proposed by"
"E97-1023";"627";"use"
"W06-1642";"628";"use"
"D12-1069";"629";"present"
"D12-1110";"630";"present"
"D11-1014";"631";"introduce"
"J11-2001";"632";"present"
"P02-1053";"633";"present"
"P12-2018";"634";"use"
"P05-1022";"635";"method"
"J11-2001";"636";"approach"
"P02-1053";"637";"approach"
"P04-1015";"638";"proposed by"
"J91-1003";"639";"proposed by"
"J91-1003";"640";"present"
"W06-3506";"641";"approach"
"W06-3506";"642";"present"
"W13-0907";"643";"use"
"W07-0103";"644";"method"
"W07-0103";"645";"use"
"J91-1007";"646";"present"
"N10-1147";"647";"method"
"N10-1147";"648";"present"
"W07-0103";"649";"method"
"W13-0905";"650";"method"
"W07-0103";"651";"approach"
"J04-1002";"652";"approach"
"W07-0713";"653";"present"
"P11-2104";"654";"proposed by"
"P11-2104";"655";"present"
"E97-1023";"656";"approach"
"E09-1013";"657";"use"
"D11-1130";"658";"present"
"P99-1014";"659";"present"
"D11-1017";"660";"use"
"W02-1001";"661";"proposed by"
"W98-1002";"662";"present"
"E12-1017";"663";"present"
"P11-1133";"664";"present"
"W06-3812";"665";"proposed by"
"P07-1025";"666";"present"
"P07-1123";"667";"use"
"N09-1001";"668";"present"
"P05-1017";"669";"present"
"E09-1005";"670";"proposed by"
"J13-4004";"671";"proposed by"
"J13-4004";"672";"proposed by"
"J13-4004";"673";"proposed by"
"J13-4004";"674";"proposed by"
"J13-4004";"675";"proposed by"
"D09-1101";"676";"proposed by"
"D08-1031";"677";"present"
"W11-1904";"678";"present"
"P10-1154";"679";"report"
"N10-1138";"680";"present"
"N12-1086";"681";"present"
"J02-3001";"682";"present"
"S07-1048";"683";"use"
"D10-1001";"684";"present"
"D10-1001";"685";"method"
"D10-1004";"686";"use"
"D08-1016";"687";"use"
"D10-1004";"688";"use"
"D08-1016";"689";"use"
"P13-1163";"690";"use"
"W10-2903";"691";"use"
"W07-1101";"692";"use"
"P05-2003";"693";"use"
"W03-1812";"694";"use"
"W06-1203";"695";"use"
"W03-1812";"696";"use"
"W06-1203";"697";"use"
"P07-1107";"698";"proposed by"
"D12-1045";"699";"present"
"P87-1012";"700";"present"
"P87-1012";"701";"use"
"P84-1018";"702";"proposed by"
"P87-1011";"703";"present"
"D07-1092";"704";"present"
"W05-1510";"705";"report"
"E03-1076";"706";"present"
"P03-1021";"707";"use"
"W01-0701";"708";"report"
"W04-3236";"709";"report"
"P06-2123";"710";"report"
"E03-1068";"711";"present"
"P08-1001";"712";"use"
"W04-3215";"713";"report"
"E06-1005";"714";"present"
"W04-3208";"715";"approach"
"J05-4003";"716";"use"
"P07-1039";"717";"present"
"N06-1059";"718";"method"
"E06-1050";"719";"present"
"J99-4004";"720";"proposed by"
"P96-1030";"721";"use"
"J98-2002";"722";"use"
"E99-1016";"723";"use"
"P06-2089";"724";"use"
"N03-1028";"725";"report"
"S07-1002";"726";"present"
"S07-1053";"727";"present"
"W06-2911";"728";"use"
"W06-1615";"729";"use"
"W99-0625";"730";"approach"
"W06-3119";"731";"report"
"J94-2001";"732";"use"
"P08-1043";"733";"use"
"P06-1101";"734";"present"
"P98-2127";"735";"method"
"P07-1086";"736";"use"
"D08-1080";"737";"use"
"P08-2014";"738";"introduce"
"W98-1005";"739";"present"
"P07-1015";"740";"use"
"W06-1615";"741";"use"
"P07-1056";"742";"use"
"W07-1101";"743";"present"
"D07-1091";"744";"present"
"J07-2003";"745";"report"
"W08-0402";"746";"report"
"N07-1063";"747";"introduce"
"N06-1033";"748";"present"
"P99-1016";"749";"use"
"W04-3234";"750";"use"
"P08-1119";"751";"use"
"W07-1409";"752";"approach"
"W07-1406";"753";"proposed by"
"E93-1013";"754";"approach"
"E93-1013";"755";"approach"
"P98-1045";"756";"report"
"P90-1034";"757";"proposed by"
"P98-1010";"758";"introduce"
"P98-1034";"759";"use"
"P11-1087";"760";"proposed by"
"N10-1082";"761";"present"
"W06-1601";"762";"present"
"W12-1901";"763";"report"
"N13-1051";"764";"approach"
"D11-1141";"765";"present"
"D11-1141";"766";"use"
"J07-2003";"767";"proposed by"
"P06-1077";"768";"present"
"P06-1077";"769";"use"
"J97-3002";"770";"use"
"P01-1067";"771";"use"
"P05-1034";"772";"use"
"D11-1020";"773";"use"
"P05-1034";"774";"use"
"D11-1020";"775";"use"
"W09-1402";"776";"approach"
"W13-2006";"777";"present"
"P11-1163";"778";"approach"
"W09-1406";"779";"approach"
"P12-2023";"780";"use"
"N09-1024";"781";"method"
"W10-2210";"782";"method"
"N09-1024";"783";"method"
"P08-1068";"784";"use"
"D09-1058";"785";"use"
"P08-1068";"786";"use"
"D09-1058";"787";"use"
"S01-1021";"788";"proposed by"
"W10-4310";"789";"use"
"P09-1077";"790";"use"
"W10-2407";"791";"method"
"W10-2405";"792";"method"
"P07-1109";"793";"method"
"D13-1064";"794";"proposed by"
"W13-3611";"795";"approach"
"D10-1094";"796";"proposed by"
"D10-1094";"797";"proposed by"
"W12-2032";"798";"present"
"W12-2032";"799";"method"
